|#|Kanji|Onyomi|Kunyomi|Kanji Meaning|
|93|雄|yuu|o-, osu, on|masculine, male, hero, leader, superiority, excellence|
|94|益|eki, yaku|ma(su)|benefit, gain, profit, advantage|
|95|緊|kin|shi(meru)|tense, solid, hard, reliable, tight|
|96|標|hyou|shirube, shirushi|signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir|
|97|宣|sen|notama(u)|proclaim, say, announce|
|98|昭|shou||shining, bright|
|99|廃|hai|suta(reru)|abolish, obsolete, cessation, discarding, abandon|
|100|伊|i|kare|Italy, that one|
|101|江|kou|e|creek, inlet, bay|
|102|僚|ryou||colleague, official, companion|
|103|吉|kichi, kitsu|yoshi|good luck, joy, congratulations|
|104|盛|sei, jou|mo(ru), saka(ru)|boom, prosper, copulate|
|105|皇|kou, ou||emperor|
|106|臨|rin|nozo(mu)|look to, face, meet, confront, attend, call on|
|107|踏|tou|fu(mu)|step, trample, carry through, appraise, evade payment|
|108|壊|kai, e|kowa(su), yabu(ru)|demolition, break, destroy|
|109|債|sai||bond, loan, debt|
|110|興|kou, kyou|oko(su)|entertain, revive, retrieve, interest, pleasure|
|111|源|gen|minamoto|source, origin|
|112|儀|gi||ceremony, rule, affair, case, a matter|
|113|創|sou, shou|tsuku(ru), haji(meru), kizu, kezu(shikeru)|genesis, wound, injury, hurt, start, originate|
|114|障|shou|sawa(ru)|hinder, hurt, harm|
|115|継|kei|tsu(gu), mama-|inherit, succeed, continue, patch, graft (tree)|
|116|筋|kin|suji|muscle, sinew, tendon, fiber, plot, plan, descent|
|117|狙|so, sho|nera(u)|aim at, sight, shadow, stalk|
|118|闘|tou|tataka(u), araso(u)|fight, war|
|119|葬|sou|houmu(ru)|interment, bury, shelve|
|120|避|hi|sa(keru), yo(keru)|evade, avoid, avert, ward off, shirk, shun|
|121|司|shi|tsukasado(ru)|director, official, govt office, rule, administer|
|122|康|kou||ease, peace|
|123|善|zen|yo(i), i(i), yoshi(tosuru)|virtuous, good, goodness|
|124|逮|tai||apprehend, chase|
|125|迫|haku|sema(aru)|urge, force, imminent, spur on|
|126|惑|waku|mado(u)|beguile, delusion, perplexity|
|127|崩|hou|kuzu(reru), -kuzu(re)|crumble, die, demolish, level|
|128|紀|ki||chronicle, account, narrative, history, annals, geologic period|
|129|聴|chou, tei|ki(ku), yuru(su)|listen, headstrong, naughty, careful inquiry|
|130|脱|datsu|nu(gu)|undress, removing, escape from, get rid of, be left out, take off|
|131|級|kyuu||class, rank, grade|
|132|博|haku, baku||Dr., command, esteem, Ph.D.|
|133|締|tei|shi(maru), -shi(me), -ji(me)|tighten, tie, shut, lock, fasten|
|134|救|kyuu|suku(u)|salvation, save, help, rescue, reclaim|
|135|執|shitsu, shuu|to(ru)|tenacious, take hold, grasp, take to heart|
|136|房|bou|fusa|tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room|
|137|撤|tetsu||remove, withdraw, disarm, dismantle, reject, exclude|
|138|削|saku|kezu(ru), hatsu(ru), so(gu)|plane, sharpen, whittle, pare, shave|
|139|密|mitsu|hiso(ka)|secrecy, density (pop), minuteness, carefulness|
|140|措|so|o(ku)|set aside, give up, suspend, discontinue, lay aside, except|
|141|志|shi|kokoroza(su), kokorozashi|intention, plan, resolve, aspire, motive, hopes, shilling|
|142|載|sai|no(seru)|ride, board, get on, place, spread, 10**44, record, publish|
|143|陣|jin||camp, battle array, ranks, position, sudden, brief time|
|144|我|ga|ware, wa, wa(ga)-, waga-|ego, I, selfish, our, oneself|
|145|為|i|tame, na(ru), su(ru), tari, tsuku(ru), nari|do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good|
|146|抑|yoku|osa(eru)|repress, well, now, in the first place, push, shove, press, seal, do in spite of|
|147|幕|maku, baku|tobari|curtain, bunting, act of play|
|148|染|sen|so(meru), shi(meru)|dye, color, paint, stain, print|
|149|奈|na, nai, dai|ikan, karanashi|Nara, what?|
|150|傷|shou|kizu, ita(mu)|wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point|
|151|択|taku|era(bu)|choose, select, elect, prefer|
|152|秀|shuu|hii(deru)|excel, excellence, beauty, surpass|
|153|徴|chou, chi|shirushi|indications, sign, omen, symptom, collect, seek, refer to, question|
|154|弾|dan, tan|hi(ku), -hi(ki), hazu(mu), tama, haji(ku)|bullet, twang, flip, snap|
|155|償|shou|tsuguna(u)|reparation, make up for, recompense, redeem|
|156|功|kou, ko|isao|achievement, merits, success, honor, credit|
|157|拠|kyo, ko|yo(ru)|foothold, based on, follow, therefore|
|158|秘|hi|hi(meru), hiso(ka), kaku(su)|secret, conceal|
|159|拒|kyo, go|koba(mu)|repel, refuse, reject, decline|
|160|刑|kei||punish, penalty, sentence, punishment|
|161|塚|chou|tsuka, -dzuka|hillock, mound|
|162|致|chi|ita(su)|doth, do, send, forward, cause, exert, incur, engage|
|163|繰|sou|ku(ru)|winding, reel, spin, turn (pages), look up, refer to|
|164|尾|bi|o|tail, end, counter for fish, lower slope of mountain|
|165|描|byou|ega(ku), ka(ku)|sketch, compose, write, draw, paint|
|166|鈴|rei, rin|suzu|small bell, buzzer|
|167|盤|ban||tray, shallow bowl, platter, tub, board, phonograph record|
|168|項|kou|unaji|paragraph, nape of neck, clause, item, term (expression)|
|169|喪|sou|mo|miss, mourning|
|170|伴|han, ban|tomona(u)|consort, accompany, bring with, companion|
|171|養|you, ryou|yashina(u)|foster, bring up, rear, develop, nurture|
|172|懸|ken, ke|ka(keru)|state of suspension, hang, depend, consult, distant, far apart|
|173|街|gai, kai|machi|boulevard, street, town|
|174|契|kei|chigi(ru)|pledge, promise, vow|
|175|掲|kei|kaka(geru)|put up (a notice), put up, hoist, display, hang out, publish, describe|
|176|躍|yaku|odo(ru)|leap, dance, skip|
|177|棄|ki|su(teru)|abandon, throw away, discard, resign, reject, sacrifice|
|178|邸|tei|yashiki|residence, mansion|
|179|縮|shuku|chidji(mu)|shrink, contract, shrivel, wrinkle, reduce|
|180|還|kan|kae(ru)|send back, return|
|181|属|zoku, shoku|sakan, tsuku, yakara|belong, genus, subordinate official, affiliated|
|182|慮|ryo|omonpaku(ru)|prudence, thought, concern, consider, deliberate, fear|
|183|枠||waku|frame, framework, spindle, spool, bounding-box|
|184|恵|kei, e|megu(mu)|favor, blessing, grace, kindness|
|185|露|ro, rou|tsuyu|dew, tears, expose, Russia|
|186|沖|chuu|oki, okitsu, chuu(suru), waku|open sea, offing, rise high into sky|
|187|緩|kan|yuru(i)|slacken, loosen, relax, lessen, be moderate, ease|
|188|節|setsu, sechi|fushi, -bushi, notto|node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody|
|189|需|ju||demand, request, need|
|190|射|sha|i(ru), sa(su), u(tsu)|shoot, shine into, onto, archery|
|191|購|kou||subscription, buy|
|192|揮|ki|furu(u)|brandish, wave, wag, swing, shake|
|193|充|juu|a(teru), mi(tasu)|allot, fill|
|194|貢|kou, ku|mitsu(gu)|tribute, support, finance|
|195|鹿|roku|shika, ka|deer|
|196|却|kyaku|kae(tte), shirizo(ku)|instead, on the contrary, rather, step back, withdraw, retreat|
|197|端|tan|hashi, ha, hata, -bata, hana|edge, origin, end, point, border, verge, cape|
|198|賃|chin||fare, fee, hire, rent, wages, charge|
|199|獲|kaku|e(ru)|seize, get, find, earn, acquire, can, may, able to|
|200|郡|gun|koori|county, district|
|201|併|hei|awa(seru)|join, get together, unite, collective|
|202|徹|tetsu||penetrate, clear, pierce, strike home, sit up (all night)|
|203|貴|ki|tatto(i), touto(i)|precious, value, prize, esteem, honor|
|204|埼|ki|saki, sai, misaki|cape, spit, promontory|
|205|衝|shou|tsu(ku)|collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick|
|206|焦|shou|ko(geru), ase(ru), ji(reru)|char, hurry, impatient, irritate, burn, scorch, singe|
|207|奪|datsu|uba(u)|rob, take by force, snatch away, dispossess, plunder, usurp|
|208|災|sai|wazawa(i)|disaster, calamity, woe, curse, evil|
|209|浦|ho|ura|bay, creek, inlet, gulf, beach, seacoast|
|210|析|seki||chop, divide, tear, analyze|
|211|譲|jou|yuzu(ru)|defer, turnover, transfer, convey|
|212|称|shou|tata(eru), tona(eru), a(geru), kana(u), haka(ri), home(ru)|appellation, praise, admire, name, title, fame|
|213|納|nou, natsu, na, nan, tou|osa(meru), -osa(meru)|settlement, obtain, reap, pay, supply, store|
|214|樹|ju|ki|timber, trees, wood, establish, set up|
|215|挑|chou|ido(mu)|challenge, contend for, make love to|
|216|誘|yuu|saso(u), izana(u)|entice, lead, tempt, invite, ask, call for, seduce, allure|
|217|紛|fun|magi(reru), -magi(re)|distract, be mistaken for, go astray, divert|
|218|至|shi|ita(ru)|climax, arrive, proceed, reach, attain, result in|
|219|宗|shuu, sou|mune|religion, sect, denomination, main point, origin, essence|
|220|促|soku|unaga(su)|stimulate, urge, press, demand, incite|
|221|慎|shin|tsutsushi(mu), tsutsu(mashii), tsutsushi|humility, be careful, discreet, prudent|
|222|控|kou|hika(eru)|withdraw, draw in, hold back, refrain from, be moderate|
|223|智|chi||wisdom, intellect, reason|
|224|握|aku|nigi(ru)|grip, hold, mould sushi, bribe|
|225|宙|chuu||mid-air, air, space, sky, memorization, interval of time|
|226|俊|shun||sagacious, genius, excellence|
|227|銭|sen, zen|zeni, suki|coin, .01 yen, money|
|228|渋|juu, shuu|shibu, shibu(i)|astringent, hesitate, reluctant, have diarrhea|
|229|銃|juu|tsutsu|gun, arms|
|230|操|sou, san|misao, ayatsu(ru)|maneuver, manipulate, operate, steer, chastity, virginity, fidelity|
|231|携|kei|tazusa(eru)|portable, carry (in hand), armed with, bring along|
|232|診|shin|mi(ru)|checkup, seeing, diagnose, examine|
|233|託|taku|kakotsu(keru), kako(tsu)|consign, requesting, entrusting with, pretend, hint|
|234|撮|satsu|to(ru), tsuma(mu), -do(ri)|snapshot, take pictures|
|235|誕|tan||nativity, be born, declension, lie, be arbitrary|
|236|侵|shin|oka(su)|encroach, invade, raid, trespass, violate|
|237|括|katsu|kuku(ru)|fasten, tie up, arrest, constrict|
|238|謝|sha|ayama(ru)|apologize, thank, refuse|
|239|孝|kou, kyou||filial piety, child's respect|
|240|駆|ku|ka(keru)|drive, run, gallop, advance, inspire, impel|
|241|透|tou|su(ku), tou(ru)|transparent, permeate, filter, penetrate|
|242|津|shin|tsu|haven, port, harbor, ferry|
|243|壁|heki|kabe|wall, lining (stomach), fence|
|244|稲|tou, te|ine, ina-|rice plant|
|245|仮|ka, ke|kari, kari-|sham, temporary, interim, assumed (name), informal|
|246|裂|retsu|sa(ku), -gi(re)|split, rend, tear|
|247|敏|bin|satoi|cleverness, agile, alert|
|248|是|ze, shi|kore, kono, koko|just so, this, right, justice|
|249|排|hai||repudiate, exclude, expel, reject, line up, arrange|
|250|裕|yuu||abundant, rich, fertile|
|251|堅|ken|kata(i), -gata(i)|strict, hard, solid, tough, tight, reliable|
|252|訳|yaku|wake|translate, reason, circumstance, case|
|253|芝|shi|shiba|turf, lawn|
|254|綱|kou|tsuna|hawser, class (genus), rope, cord, cable|
|255|典|ten, den|fumi, nori|code, ceremony, law, rule|
|256|賀|ga||congratulations, joy|
|257|扱|sou, kyuu|atsuka(i), ko(ku)|handle, entertain, thresh, strip|
|258|顧|ko|kaeri(miru)|look back, review, examine oneself, turn around|
|259|弘|kou, gu|hiro(i)|vast, broad, wide|
|260|看|kan|mi(ru)|watch over, see|
|261|訟|shou||sue, accuse|
|262|戒|kai|imashi(meru)|commandment|
|263|祉|shi||welfare, happiness|
|264|誉|yo|homa(re), ho(meru)|reputation, praise, honor, glory|
|265|歓|kan|yoroko(bu)|delight, joy|
|266|奏|sou|kana(deru)|play music, speak to a ruler, complete|
|267|勧|kan, ken|susu(meru)|persuade, recommend, advise, encourage, offer|
|268|騒|sou|sawa(gu), urei|boisterous, make noise, clamor, disturb, excite|
|269|閥|batsu||clique, lineage, pedigree, faction, clan|
|270|甲|kou, kan|kinoe|armor, high (voice), A grade, first class, former, instep, carapace|
|271|縄|jou|nawa, tada(su)|straw rope, cord|
|272|郷|kyou, gou|sato|home town, village, native place, district|
|273|揺|you|yu(reru), ugo(ku)|swing, shake, sway, rock, tremble, vibrate|
|274|免|men|manuka(reru), manuga(reru)|excuse, dismissal|
|275|既|ki|sude(ni)|previously, already, long ago|
|276|薦|sen|susu(meru)|recommend, mat, advise, encourage, offer|
|277|隣|rin|tona(ru), tonari|neighboring|
|278|華|ka, ke|hana|splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous|
|279|範|han||pattern, example, model|
|280|隠|in, on|kaku(su), yo(ru)|conceal, hide, cover|
|281|徳|toku||benevolence, virtue, goodness, commanding respect|
|282|哲|tetsu|satoi, akiraka|philosophy, clear|
|283|杉|san|sugi|cedar, cryptomeria|
|284|里|ri|sato|ri, village, parent's home, league|
|285|釈|shaku, seki|toku, su(teru), yuru(su)|explanation|
|286|己|ko, ki|onore, tsuchinoto, na|self|
|287|妥|da||gentle, peace, satisfactory, appropriate|
|288|威|i|odo(su)|intimidate, dignity, majesty, menace, threaten|
|289|豪|gou|era(i)|overpowering, great, powerful, excelling, Australia|
|290|熊|yuu|kuma|bear|
|291|滞|tai, tei|todokoo(ru)|stagnate, be delayed, overdue, arrears|
|292|微|bi|kasu(ka)|delicate, minuteness, insignificance|
|293|隆|ryuu||hump, high, noble, prosperity|
|294|症|shou||symptoms, illness|
|295|暫|zan|shibara(ku)|temporarily, a while, moment, long time|
|296|忠|chuu||loyalty, fidelity, faithfulness|
|297|倉|sou|kura|godown, warehouse, storehouse, cellar, treasury|
|298|彦|gen|hiko|lad, boy (ancient)|
|299|肝|kan|kimo|liver, pluck, nerve, chutzpah|
|300|喚|kan|wame(ku)|yell, cry, call, scream, summon|
|301|沿|en|so(u), -zo(i)|run alongside, follow along, run along, lie along|
|302|妙|myou, byou|tae|exquisite, strange, queer, mystery, miracle, excellent, delicate, charming|
|303|唱|shou|tona(eru)|chant, recite, call upon, yell|
|304|阿|a, o|omone(ru), kuma|Africa, flatter, fawn upon, corner, nook, recess|
|305|索|saku||cord, rope, searching, inquiring|
|306|誠|sei|makoto|sincerity, admonish, warn, prohibit, truth, fidelity|
|307|襲|shuu|oso(u), kasa(ne)|attack, advance on, succeed to, pile, heap|
|308|懇|kon|nengo(ro)|sociable, kind, courteous, hospitable, cordial|
|309|俳|hai||haiku, actor|
|310|柄|hei|gara, e, tsuka|design, pattern, build, nature, character, handle, crank, grip, knob, shaft|
|311|驚|kyou|odoro(ku)|wonder, be surprised, frightened, amazed|
|312|麻|ma, maa|asa|hemp, flax, numb|
|313|李|ri|sumomo|plum|
|314|浩|kou|ooki(i), hiro(i)|wide expanse, abundance, vigorous|
|315|剤|zai, sui, sei|karu, kezu(ru)|dose, medicine, drug|
|316|瀬|rai|se|rapids, current, torrent, shallows, shoal|
|317|趣|shu|omomuki, omomu(ku)|purport, gist, elegance, interest, proceed to, tend, become|
|318|陥|kan|ochii(ru), otoshii(reru)|collapse, fall into, cave in, fall (castle), slide into|
|319|斎|sai|toki, tsutsushi(mu), monoimi, i(mu), iwa(u), itsu(ku)|purification, Buddhist food, room, worship, avoid, alike|
|320|貫|kan|tsuranu(ku), nu(ku), nuki|pierce, 8 1/3lbs, penetrate, brace|
|321|仙|sen, sento||hermit, wizard, cent|
|322|慰|i|nagusa(meru)|consolation, amusement, seduce, cheer, make sport of, comfort, console|
|323|序|jo|tsui(de), tsuide|preface, beginning, order, precedence, occasion, chance, incidentally|
|324|旬|jun, shun||decameron, ten-day period, season (for specific products)|
|325|兼|ken|ka(neru), -ka(neru)|concurrently, and, beforehand, in advance|
|326|聖|sei, shou|hijiri|holy, saint, sage, master, priest|
|327|旨|shi|mune, uma(i)|delicious, relish, show a liking for, purport, will, clever, expert|
|328|即|soku|tsu(ku), sunawa(chi)|instant, namely, as is, conform, agree, adapt|
|329|柳|ryuu|yanagi|willow|
|330|舎|sha, seki|yado(ru)|cottage, inn, hut, house, mansion|
|331|偽|gi, ka|itsuwa(ru), nise|falsehood, lie, deceive, pretend, counterfeit, forgery|
|332|較|kaku, kou|kura(beru)|contrast, compare|
|333|覇|ha, haku|hatagashira|hegemony, supremacy, leadership, champion|
|334|畑||hata, hatake, -batake|farm, field, garden, one's specialty, (kokuji)|
|335|詳|shou|kuwa(shii), tsumabi(raka)|detailed, full, minute, accurate, well-informed|
|336|抵|tei||resist, reach, touch|
|337|脅|kyou|obiya(kasu), odo(su)|threaten, coerce|
|338|茂|mo|shige(ru)|overgrown, grow thick, be luxuriant|
|339|犠|gi, ki|ikenie|sacrifice|
|340|旗|ki|hata|national flag, banner, standard|
|341|距|kyo|heda(taru), kedzume|long-distance, spur, fetlock|
|342|雅|ga|miya(bi)|gracious, elegant, graceful, refined|
|343|飾|shoku|kaza(ru)|decorate, ornament, adorn, embellish|
|344|網|mou|ami|netting, network|
|345|竜|ryuu, ryou, rou|tatsu, ise|dragon, imperial|
|346|詩|shi|uta|poem, poetry|
|347|繁|han|shige(ku)|luxuriant, thick, overgrown, frequency, complexity, trouble|
|348|翼|yoku|tsubasa|wing, plane, flank|
|349|茨|shi, ji|ibara, kaya, kusabuki|briar, thorn|
|350|潟|seki|kata, -gata|lagoon|
|351|敵|teki|kataki, ada, kana(u)|enemy, foe, opponent|
|352|魅|mi||fascination, charm, bewitch|
|353|嫌|ken, gen|kira(i), iya|dislike, detest, hate|
|354|斉|sei, sai|soro(u), hito(shii), ataru, hayai|adjusted, alike, equal, similar variety of|
|355|敷|fu|shi(ku), -shi(ki)|spread, pave, sit, promulgate|
|356|擁|yoku||hug, embrace, possess, protect, lead|
|357|圏|ken|kako(i)|sphere, circle, radius, range|
|358|酸|san|su(i)|acid, bitterness, sour, tart|
|359|罰|batsu, bachi, hatsu|bas(suru)|penalty, punishment|
|360|滅|metsu|horo(biru), horo(bu), horo(basu)|destroy, ruin, overthrow, perish|
|361|礎|so|ishizue|cornerstone, foundation stone|
|362|腐|fu|kusa(ru), -kusa(ru)|rot, decay, sour|
|363|脚|kyaku, kya, kaku|ashi|skids, leg, undercarriage, lower part, base|
|364|菱|ryou|hishi|diamond (shape), water chestnut, rhombus|
|365|潮|chou|shio, ushio|tide, salt water, opportunity|
|366|梅|bai|ume|plum|
|367|尽|jin, san|tsu(kiru), tsu(kusu), -dzu(ku), zu(ku)|exhaust, use up, run out of, deplete, befriend, serve|
|368|僕|boku|shimobe|me, I (male), servant, manservant|
|369|桜|ou, you|sakura|cherry|
|370|滑|katsu, kotsu|sube(ru), name(raka)|slippery, slide, slip, fail exam|
|371|孤|ko||orphan, alone|
|372|煕|ki|tanoshi(mu), hika(ru), hiro(i), yoroko(bu), kawa(ku), akiraka|shine|
|373|炎|en|honoo|inflammation, flame, blaze|
|374|賠|bai||compensation, indemnify|
|375|句|ku||phrase, clause, sentence, passage, paragraph, counter for haiku|
|376|寿|ju, su, shuu|kotobuki, kotobu(ku), kotoho(gu)|longevity, congratulations, one's natural life|
|377|鋼|kou|hagane|steel|
|378|頑|gan|kataku(na)|stubborn, foolish, firmly|
|379|鎖|sa|kusari, toza(su)|chain, irons, connection|
|380|彩|sai|irodo(ru)|coloring, paint, makeup|
|381|摩|ma|ma(suru), sasu(ru), su(ru)|chafe, rub, polish, grind, scrape|
|382|励|rei|hage(mu), hage(masu)|encourage, be diligent, inspire|
|383|縦|juu|tate|vertical, length, height, self-indulgent, wayward|
|384|輝|ki|kagaya(ku)|radiance, shine, sparkle, gleam, twinkle|
|385|蓄|chiku|takuwa(eru)|amass, raise, hoard, store|
|386|軸|jiku||axis, pivot, stem, stalk, counter for book scrolls|
|387|巡|jun|megu(ru), megu(ri)|patrol, go around, circumference|
|388|稼|ka|kase(gu)|earnings, work, earn money|
|389|瞬|shun|matata(ku), majiro(gu)|wink, blink, twinkle|
|390|砲|hou||cannon, gun|
|391|噴|fun|fuku|erupt, spout, emit, flush out|
|392|誇|ko|hoko(ru)|boast, be proud, pride, triumphantly|
|393|祥|shou|saiwa(i), kiza(shi), yo(i), tsumabi(raka)|auspicious, happiness, blessedness, good omen, good fortune|
|394|牲|sei||animal sacrifice, offering|
|395|秩|chitsu||regularity, salary, order|
|396|帝|tei|mikado|sovereign, the emperor, god, creator|
|397|宏|kou|hiro(i)|wide, large|
|398|唆|sa|soso(ru), sosonoka(su)|tempt, seduce, instigate, promote|
|399|阻|so|haba(mu)|thwart, separate from, prevent, obstruct, deter, impede|
|400|泰|tai||peaceful, calm, peace, easy, Thailand, extreme, excessive, great|
|401|賄|wai|makana(u)|bribe, board, supply, finance|
|402|撲|boku||slap, strike, hit, beat, tell, speak|
|403|堀|kutsu|hori|ditch, moat, canal|
|404|菊|kiku||chrysanthemum|
|405|絞|kou|shibo(ru), shi(meru), shi(maru)|strangle, constrict, wring|
|406|縁|en, -nen|fuchi, yukari, yosuga, heri, enishi|affinity, relation, connection, edge, border, verge, brink|
|407|唯|yui, i|tada|solely, only, merely, simply|
|408|膨|bou|fuku(ramu), fuku(reru)|swell, get fat, thick|
|409|耐|tai|ta(eru)|-proof, enduring|
|410|塾|juku||cram school, private school|
|411|漏|rou|mo(ru), mo(reru), mo(rasu)|leak, escape, time|
|412|慶|kei|yoroko(bi)|jubilation, congratulate, rejoice, be happy|
|413|猛|mou||fierce, rave, rush, become furious, wildness, strength|
|414|芳|hou|kanba(shii)|perfume, balmy, favorable, fragrant|
|415|懲|chou|ko(riru), ko(rasu), ko(rashimeru)|penal, chastise, punish, discipline|
|416|剣|ken|tsurugi|sabre, sword, blade, clock hand|
|417|幌|kou|horo, tobari|canopy, awning, hood, curtain|
|418|彰|shou||patent, clear|
|419|棋|ko|go|chess piece, Japanese chess, shogi|
|420|丁|chou, tei, chin, tou, chi|hinoto|street, ward, town, counter for guns, tools|
|421|恒|kou|tsune, tsuneni|constancy, always|
|422|揚|you|a(geru), -a(ge)|raise, elevate, hoist, praise, extol, fry in deep fat|
|423|冒|bou|oka(su)|risk, face, defy, dare, damage, assume (a name)|
|424|之|shi|no, kore, yuku, kono|of, this|
