|#|Kanji|Onyomi|Kunyomi|Kanji Meaning|
|---|---|---|---|---|
|1|氏|shi|uji|family name, surname, clan|
|2|統|tou|su(beru)|ruling, governing|
|3|基|ki|moto, motoi|fundamentals, counter for machines, foundation|
|4|価|ka|atai|value, price|
|5|提|tei|sa(geru)|propose, take along, carry in hand|
|6|挙|kyo|a(geru), kozo(ru)|raise, plan, project, behavior, actions|
|7|応|ou|kota(eru)|apply, answer, yes, OK, reply, accept|
|8|企|ki|kuwada(teru), takura(mu)|undertake, scheme, design, attempt, plan|
|9|検|ken|shira(beru)|examination, investigate|
|10|藤|tou|fuji|wisteria|
|11|沢|taku|sawa|swamp, marsh, brilliance, grace|
|12|裁|sai|ta(tsu), saba(ku)|tailor, judge, decision, cut out (pattern)|
|13|証|shou|akashi|evidence, proof, certificate|
|14|援|en||abet, help, save|
|15|可|ka|be(ki)|can, passable, mustn't, should not|
|16|施|shi, se|hodoko(su)|give, bestow, perform, alms|
|17|井|sei, shou|i|well, well crib, town, community|
|18|護|go|mamo(ru)|safeguard, protect|
|19|展|ten||unfold, expand|
|20|態|tai|waza(to)|attitude, condition|
|21|鮮|sen|aza(yaka)|fresh, vivid, clear|
|22|視|shi|mi(ru)|inspection, regard as, see, look at|
|23|条|jou, chou, deki|eda, suji|article, clause, counter for articles|
|24|幹|kan|miki|tree trunk, main part, talent, capability|
|25|独|doku|hito(ri)|single, alone, spontaneously|
|26|宮|kyuu, guu, ku|miya|Shinto shrine, constellations, palace, princess|
|27|率|sotsu, ritsu|hiki(iru)|ratio, rate, proportion, %, factor, lead|
|28|衛|ei||defense, protection|
|29|張|chou|ha(ru)|lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)|
|30|監|kan||oversee, official, govt office, rule, administer|
|31|環|kan|wa|ring, circle, link, wheel|
|32|審|shin|tsumabi(raka), tsubusa(ni)|hearing, judge, trial|
|33|義|gi||righteousness, justice, morality, honor, loyalty, meaning|
|34|訴|so|utta(eru)|accusation, sue, complain of pain, appeal to|
|35|株|shu|kabu|stocks, stump, shares, stock, counter for small plants|
|36|姿|shi|sugata|figure, form, shape|
|37|閣|kaku||tower, tall building, palace|
|38|韓|kan|kara, igeta|Korea|
|39|衆|shuu, shu|oo(i)|masses, great numbers, multitude, populace|
|40|評|hyou||evaluate, criticism, comment|
|41|岡|kou|oka|mount, hill, knoll|
|42|影|ei|kage|shadow, silhouette, phantom|
|43|松|shou|matsu|pine tree|
|44|撃|geki|u(tsu)|beat, attack, defeat, conquer|
|45|佐|sa||assistant, help|
|46|核|kaku||nucleus, core, kernel|
|47|整|sei|totono(eru)|organize, arranging, tune, tone, meter, key (music)|
|48|融|yuu|to(keru)|dissolve, melt|
|49|製|sei||made in..., manufacture|
|50|票|hyou||ballot, label, ticket, sign|
|51|渉|shou|wata(ru)|ford, go cross, transit, ferry, import, involve|
|52|響|kyou|hibi(ku)|echo, sound, resound, ring, vibrate|
|53|推|sui|o(su)|conjecture, infer, guess, suppose, support, push (for)|
|54|請|sei, shin, shou|ko(u), u(keru)|solicit, invite, ask|
|55|器|ki|utsuwa|utensil, vessel, receptacle, implement, instrument, ability, container, tool, set|
|56|士|shi|samurai|gentleman, scholar, samurai|
|57|討|tou|u(tsu)|chastise, attack, defeat, destroy, conquer|
|58|攻|kou|se(meru)|aggression, attack, criticize, polish|
|59|崎|ki|saki, sai, misaki|promontory, cape, spit|
|60|督|toku||coach, command, urge, lead, supervise|
|61|授|ju|sazu(keru)|impart, instruct, grant, confer|
|62|催|sai|moyou(su), moyoo(su)|sponsor, hold (a meeting), give (a dinner)|
|63|及|kyuu|oyo(bu), oyobi|reach out, exert, exercise, cause|
|64|憲|ken||constitution, law|
|65|離|ri|hana(reru)|detach, separation, disjoin, digress|
|66|激|geki|hage(shii)|violent, get excited, enraged, chafe, incite|
|67|摘|teki|tsu(mu)|pinch, pick, pluck, trim, clip, summarize|
|68|系|kei||lineage, system|
|69|批|hi||criticism, strike|
|70|郎|rou|otoko|son, counter for sons|
|71|健|ken|suko(yaka)|healthy, health, strength, persistence|
|72|従|juu, shou, ju|shitaga(u), yori|accompany, obey, submit to, comply, follow, secondary, incidental, subordinate|
|73|修|shuu, shu|osa(meru)|discipline, conduct oneself well, study, master|
|74|隊|tai||regiment, party, company, squad|
|75|織|shoku, shiki|o(ru), ori, -ori, -o(ri)|weave, fabric|
|76|拡|kaku, kou|hiro(garu)|broaden, extend, expand, enlarge|
|77|故|ko|yue, furu(i), moto|happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore|
|78|振|shin|fu(ru)|shake, wave, wag, swing|
|79|弁|ben, hen|kanmuri, wakima(eru), wa(keru), hanabira|valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap|
|80|就|shuu, ju|tsu(ku)|concerning, settle, take position, depart, study, per|
|81|異|i|koto, koto(naru), ke|uncommon, different, queerness, strangeness, wonderful, curious, unusual|
|82|献|ken, kon|tatematsu(ru)|offering, counter for drinks, present, offer|
|83|厳|gen, gon|ogoso(ka), kibi(shii), ika(meshii), itsukushi|stern, strictness, severity, rigidity|
|84|維|i||fiber, tie, rope|
|85|浜|hin|hama|seacoast, beach, seashore|
|86|遺|i, yui|noko(su)|bequeath, leave behind, reserve|
|87|塁|rui, rai, sui|toride|bases, fort, rampart, walls, base(ball)|
|88|邦|hou|kuni|home country, country, Japan|
|89|素|so, su|moto|elementary, principle, naked, uncovered|
|90|遣|ken|tsuka(u), -tsuka(i), -dzuka(i), ya(ru)|dispatch, despatch, send, give, donate, do, undertake|
|91|抗|kou|araga(u)|confront, resist, defy, oppose|
|92|模|mo, bo||imitation, copy, mock|
