|#|Grammar Lesson|文法レッスン|Grammar Meaning|
|102|saichuu ni|最中に（さいちゅうに）|while; during; in the middle of \~|
|103|sara ni|さらに|furthermore; again; more and more \~|
|104|sate|さて|conjunction: well; now; then \~|
|105|sei de|せいで|because of; due to; as a result of \~|
|106|seizei|せいぜい|at the most; at best; to the utmost|
|107|shibaraku|しばらく|for a moment; for a while; for the time being|
|108|shikanai|しかない|have no choice but \~|
|109|sono tame ni|そのために|hence; for that reason; because of \~|
|110|soretomo|それとも|or; or else \~|
|111|sou mo nai /sou ni nai|そうもない /そうにない|very unlikely to; showing no signs of \~|
|112|sude ni|すでに|something has already been done/taken place; is already the case|
|113|sunawachi|すなわち|in other words; namely \~|
|114|suuryou + wa|数量 + は（すうりょう+ は）|at least \~|
|115|ta mono da|たものだ|used to do; would often do|
|116|ta totan|たとたん|as soon as; just as \~|
|117|tabi ni|たびに|whenever; every time \~|
|118|tame ni|ために|for; in order to; for the benefit of; because of; as a result of \~|
|119|tashika ni|確かに（たしかに）|surely, certainly \~|
|120|tate|たて|just done; freshly done; newly done|
|121|tatoe\~temo|たとえ～ても|even if… is the case|
|122|tatoeba|例えば（たとえば）|for example; for instance \~|
|123|tatte|たって|even if; even though; no matter how \~|
|124|te bakari iru|てばかりいる|only; nothing but \~|
|125|te goran|てごらん|(please) try to; (please) look|
|126|te hajimete|てはじめて|not until; only after [x] did I|
|127|te kara de nai to|てからでないと|must first do; cannot do without first doing \~|
|128|te shou ga nai/te shikata ga nai|てしょうがない・てしかたがない|can't help but; very; extremely \~|
|129|te sumu|て済む（てすむ）|sufficient by; no problem to; resolve by \~|
|130|te wa ikenai kara|てはいけないから|in order to not\~; to prevent a negative situation|
|131|teiru baai janai|ている場合じゃない（ているばあいじゃない）|this is no time to be doing \~|
|132|teki|的（てき）|change noun into na-adjective or adverb|
|133|temo hajimaranai|ても始まらない（てもはじまらない）|even if you... it's no use; there is no point to \~|
|134|temo kamawanai|ても構わない（てもかまわない）|it doesn't matter if \~|
|135|temo shou ga nai / temo shikata ga nai|てもしょうがない / てもしかたがない|there's no point to\~; it's no use to\~; it cannot be helped|
|136|to ieba|と言えば（といえば）|speaking of; when you talk of; when you say; if it were the case that \~|
|137|to ii / tara ii|といい / たらいい|it would be nice if; should; I hope \~|
|138|to ittemo|といっても|although I say; although one might say \~|
|139|to iu koto da|ということだ|I heard; it means that; in other words \~|
|140|to iu nowa|というのは|this means; the meaning of …is; because; that is to say \~|
|141|to iu to|と言うと（というと）|speaking of; when you talk of; when you say \~|
|142|to iu yori|というより|rather than \~|
|143|to mieru / to miete|とみえる / とみえて|it seems that \~|
|144|to sureba / to shitara / to suru to|とすれば・としたら・とすると|in the case of\~; assuming\~; if A then B|
|145|to tomo ni|と共に（とともに）|together with; at the same time as; as well as \~|
|146|tochuu de / tochuu ni|途中で/途中に（とちゅうで/とちゅうに）|on the way; in the middle of \~|
|147|tokoro de|ところで|by the way \~|
|148|tokoro ga|ところが|even so; however; even though \~|
|149|toori ni|とおりに|in the same way as; in the way; as \~|
|150|toosu|通す（とおす）|to do until the end; to continually do; through \~|
|151|toshite|として|as; in the role of \~|
|152|totemo\~nai|とても～ない|cannot possibly be; hardly \~|
|153|towa kagiranai|とは限らない（とはかぎらない）|not necessarily so; is not always true|
|154|tsui|つい|accidentally; unintentionally; by mistake|
|155|tsui ni|ついに|finally; at last; in the end \~|
|156|tsuide ni|ついでに|while, incidentally, at the same time, on the way \~|
|157|tsumari|つまり|in other words; in summary; in short \~|
|158|tsumori datta|つもりだった|I thought I\~; I believe I\~; was planning to\~; was intending to \~|
|159|tsumori de|つもりで|with the intention of doing \~|
|160|uchi ni|うちに|while; before \~|
|161|ue de|上で（うえで）|upon; after; when; for; in order to|
|162|ue ni|上に（うえに）|as well; besides; in addition to; not only… but also \~|
|163|wa betsu toshite|は別として（はべつとして）|aside from; apart from; except for; whether or not \~|
|164|wa mochiron|はもちろん|not to mention; not only ... but also \~|
|165|wa\~de yuumei|は～で有名（は～でゆうめい）|famous for \~|
|166|wake da|わけだ|for that reason; no wonder; as you'd expect; the fact is; so you mean \~|
|167|wake dewa nai|わけではない|it doesn't mean that; it is not the case that; I don't mean that; it is not true that \~|
|168|wake ga nai|わけがない|there is no way that; it is impossible to \~|
|169|wake niwa ikanai|わけにはいかない|must not; cannot afford to; must, have no choice but to \~|
|170|wari ni|割に（わりに）|considering \~; for \~; despite \~|
|171|wazato|わざと|on purpose; intentionally \~|
|172|wazawaza|わざわざ|to go to the trouble of; to go out of one's way to \~|
|173|yorimo|よりも|in comparison to; rather than; more than \~|
|174|you ga nai|ようがない|there is no way to; it's impossible to \~|
|175|you na ki ga suru|ような気がする（ようなきがする）|have a feeling that; feels like; seems like; think that \~|
|176|you ni|ように|in order to, so that \~|
|177|you ni mieru|ように見える（ようにみえる）|to look; to seem; to appear \~|
|178|you to shinai|ようとしない|not try to; not make an effort to \~|
|179|you to suru|ようとする|try to; attempt to; be about to \~|
|180|zuni|ずに|without doing \~|
|181|zuni wa irarenai|ずにはいられない|can't help but feel; can't help but do; must do \~|
|182|zutsu|ずつ|apiece; each; at a time|
