|#|Grammar Lesson|文法レッスン|Grammar Meaning|
|---|---|---|---|
|1|ageru|上げる（あげる）|to finish doing \~|
|2|amari|あまり|so much… that|
|3|amari ni mo|あまりにも|too much; so much… that; excessively \~|
|4|au|合う（あう）|do something together|
|5|ba ii|ばいい|should; can; it'd be good if \~|
|6|ba yokatta|ばよかった|should have; would have been better if \~|
|7|ba\~hodo|ば～ほど|the more… the more \~|
|8|ba\~noni|ば～のに|would have; should have; if only \~|
|9|bakari de|ばかりで|only; just \~ (negative description)|
|10|bakari denaku|ばかりでなく|not only... but also; as well as \~|
|11|beki da|べきだ|should do; must do \~|
|12|beki dewa nai|べきではない|should not do; must not do \~|
|13|betsu ni\~nai|別に～ない（べつに～ない）|not really, not particularly|
|14|buri ni|ぶりに|for the first time in (period of time)|
|15|chuu / juu|中（ちゅう）|currently; during; at some point; throughout; before the end of \~|
|16|dake|だけ|as much as \~|
|17|dake de naku|だけでなく|not only… but also \~|
|18|dakedo|だけど|but; however; although; regarding \~|
|19|darake|だらけ|full of; covered with; a lot of (something undesirable)|
|20|donna ni\~temo|どんなに～ても|no matter how (much)|
|21|doushitemo|どうしても|no matter what; at any cost; after all \~|
|22|furi o suru|ふりをする|to pretend; to act as if \~|
|23|futo|ふと|suddenly; accidentally; unexpectedly; unintentionally \~|
|24|gachi|がち|tend to; tendency to; frequently; often; to do something easily|
|25|gatai|がたい|very difficult to; hard to \~|
|26|gimi|気味（ぎみ）|-like; -looking; -looked; tending to \~|
|27|goto ni|ごとに|each; every; at intervals of \~|
|28|hodo|ほど|degree; extent; bounds; upper limit|
|29|hodo\~nai|ほど～ない|is not as… as \~|
|30|ichido ni|一度に（いちどに）|all at once|
|31|ikura\~temo|いくら～ても|no matter how \~|
|32|ippou da|一方だ（いっぽうだ）|more and more; continue to \~|
|33|ittai|一体（いったい）|emphasis; what on earth; what in the world|
|34|janai|じゃない|maybe; most likely; confirmation of information; express surprise towards listener|
|35|ka nani ka|か何か（かなにか）|or something \~|
|36|kakeru|かける|half-; not yet finished; in the middle of\~|
|37|kara\~ni kakete|から〜にかけて|through; from [A] to [B]|
|38|kawari ni|代わりに（かわりに）|instead of; as a substitute for​; in exchange for; in return for|
|39|kekka|結果（けっか）|as a result of; after \~|
|40|kekkyoku|結局（けっきょく）|after all; eventually; in the end \~|
|41|kesshite\~nai|決して～ない（けっして～ない）|never; by no means \~|
|42|kirenai|切れない（きれない）|unable to do; too much to finish/complete|
|43|kiri|きり|only; just; since; after \~|
|44|kiru|切る（きる）|to do something completely to the end|
|45|kke|っけ|a casual suffix to confirm something you are trying to remember|
|46|komu|込む（こむ）|to do something for a long time or to move something inside|
|47|koso|こそ|for sure (emphasize preceding word); precisely; definitely \~|
|48|koto|こと|(must) do|
|49|koto kara|ことから|from the fact that \~|
|50|koto ni natteiru|ことになっている|expresses a standard, rule or expectation|
|51|koto wa nai|ことはない|there is no need to; (something) never happens; there is no possibility that \~|
|52|koto wa\~ga|ことは～が|although; but \~|
|53|kurai / gurai|くらい / ぐらい|approximately; about; around; to the extent \~|
|54|kuse ni|くせに|and yet; though; in spite of; despite \~|
|55|maru de|まるで|as if; as though; just like \~|
|56|masaka|まさか|there's no way; that's impossible; you must be joking|
|57|metta ni\~nai|めったに～ない|hardly; rarely; seldom|
|58|mo\~ba\~mo|も～ば～も|and; also; as well; either/or; neither/nor|
|59|moshika shitara|もしかしたら|perhaps; maybe; perchance; by any chance \~|
|60|moshimo\~tara|もしも〜たら|if; in the case; supposing \~|
|61|muke|向け（むけ）|intended for; aimed at \~|
|62|muki|向き（むき）|suitable for \~|
|63|mushiro|むしろ|rather; instead; better \~|
|64|nagara mo|ながらも|but; although; despite \~|
|65|nai koto wa nai|ないことはない|can do; is not impossible to \~|
|66|naito|ないと|must do; unless/if you don't \~|
|67|nakanaka|なかなか|very; quite; pretty; rather; just not \~|
|68|nanka / nante / nado|なんか / なんて/ など|give examples; show modesty; make light of \~|
|69|naosu|直す（なおす）|to do something again; to do over|
|70|naru beku|なるべく|as much as possible|
|71|nazenara|なぜなら|because; the reason is; if you want to know why|
|72|ndatte|んだって|I hear that; heard that \~|
|73|ni chigai nai|に違いない（にちがいない）|I'm sure/ certain; no doubt that \~|
|74|ni hanshite|に反して（にはんして）|against; contrary to; in contrast to \~|
|75|ni kakete|にかけて|over (a period); through; concerning; regarding \~|
|76|ni kan suru / ni kan shite|に関する / に関して（にかんする/ にかんして）|about; regarding; related to \~|
|77|ni kawatte / ni kawari|にかわって / にかわり|instead of; replacing; on behalf of \~|
|78|ni kurabete|に比べて（にくらべて）|compared to; in comparison to \~|
|79|ni nareru|に慣れる（になれる）|to be used to something|
|80|ni oite / ni okeru|において / における|in; at (place); regarding; as for; in relation to \~|
|81|ni shitagatte|にしたがって|as; therefore; in accordance with; according to; consequently \~|
|82|ni shite mo|にしても|even if; even though; regardless of \~|
|83|ni shite wa|にしては|for; considering it's (something or someone)|
|84|ni taishite|に対して（にたいして）|towards; against; regarding; in contrast with​ \~|
|85|ni totte|にとって|to; for; concerning; as far as ... is concerned; regarding \~|
|86|ni tsuite|について|concerning; regarding; about; on \~|
|87|ni tsurete|につれて|as; in proportion to; with; as… then \~|
|88|ni wa|には|for the purpose of; in order to \~|
|89|ni yoru to/ni yoreba|によると /によれば|according to \~|
|90|ni yotte / ni yoru|によって / による|by means of; due to; owing to; because of \~|
|91|no deshou ka|のでしょうか|ask a question in a polite way|
|92|o chuushin ni|を中心に（をちゅうしんに）|focused on; centered on|
|93|o hajime|をはじめ|for example; starting with \~|
|94|o komete|を込めて（をこめて）|filled with; full of|
|95|o tsuujite / o tooshite|を通じて / を通して（をつうじて/ をとおして）|through; via; throughout; by \~|
|96|okage de|おかげで|thanks to; owing to; because of \~|
|97|ppanashi|っぱなし|leaving (something) on; leaving (something) still in use​|
|98|ppoi|っぽい|seems like; somewhat; -ish; easily does; often does \~|
|99|sae|さえ|even; so much as; not even|
|100|sae\~ba|さえ～ば|if only; as long as \~|
|101|sai ni|際に（さいに）|when; at the time of; in the case of \~|
