|#|語彙|Reading|Type|Meaning|
|67|刺身|sashimi|Noun|sashimi (raw sliced fish, shellfish or crustaceans)|
|68|早速|sassoku|Adverb|at once; immediately; without delay; promptly|
|69|刺す|sasu|Verb, Godan verb, Transitive verb|to pierce; to stab; to prick; to stick; to thrust; to sting|
|70|青少年|seishounen|Noun|youth; young person|
|71|赤道|sekidou|Noun|equator|
|72|社会科学|shakaikagaku|Noun|social science|
|73|社説|shasetsu|Noun|editorial; leading article; leader|
|74|司会|shikai|Noun, Verb, Suru verb|master of ceremonies; leading a meeting; presenter; host|
|75|新幹線|shinkansen|Noun|Japanese bullet train|
|76|白髪|shiraga|Noun|white hair; grey hair|
|77|自然科学|shizenkagaku|Noun|natural science|
|78|書店|shoten|Noun|bookshop; bookstore|
|79|商社|shousha|Noun|trading company; firm|
|80|商店|shouten|Noun|shop; small store; business; firm|
|81|集合|shuugou|Noun, Verb, Suru verb|gathering; assembly; meeting|
|82|習字|shuuji|Noun|calligraphy; penmanship|
|83|集会|shuukai|Noun, Verb, Suru verb|meeting; assembly; gathering; convention; rally|
|84|速力|sokuryoku|Noun|speed|
|85|速達|sokutatsu|Noun, Verb, Suru verb|express; special delivery|
|86|足袋|tabi|Noun|Japanese socks (with split toe)|
|87|足る|taru|Verb, Godan verb, Intransitive verb|to be sufficient; to be enough​; to be worth doing; to be worthy of; to deserve​|
|88|特売|tokubai|Noun, Verb, Suru verb|special sale|
|89|透明|toumei|Noun, Adjective, な-adjective|transparent; clear|
|90|東洋|touyou|Noun|Orient|
|91|売れ行き|ureyuki|Noun|sales; demand|
|92|売上|uriage|Noun|amount sold; sales; proceeds; turnover|
|93|売り切れ|urikire|Noun|sold out|
|94|売り切れる|urikireru|Verb, Ichidan verb, Intransitive verb|to be sold out|
|95|我が|waga|Pre-noun adjectival|my; our; one's own|
|96|洋品店|youhinten|Noun|shop that handles Western-style apparel and accessories|
|97|輸血|yuketsu|Noun, Verb, Suru verb|blood transfusion|
|98|輸送|yusou|Noun, Verb, Suru verb|transport; transportation|
|99|材木|zaimoku|Noun|lumber; timber|
