|#|語彙|Reading|Type|Meaning|
|---|---|---|---|---|
|1|明け方|akegata|Noun, Adverbial Noun|dawn|
|2|青白い|aojiroi|Adjective, い-adjective|pale; bluish-white|
|3|足跡|ashiato|Noun|footprints|
|4|売買|baibai|Noun, Verb, Suru verb|trade; buying and selling|
|5|売店|baiten|Noun|stand; stall; booth; kiosk; store|
|6|募集|boshuu|Noun, Verb, Suru verb|recruitment; invitation; taking applications; solicitation|
|7|長男|chounan|Noun|eldest son; first-born son|
|8|楕円|daen|Noun|ellipse|
|9|大学院|daigakuin|Noun|graduate school|
|10|出入口|deiriguchi|Noun|exit and entrance|
|11|宴会|enkai|Noun|party; banquet; reception; feast; dinner|
|12|円周|enshuu|Noun|circumference|
|13|遠足|ensoku|Noun, Verb, Suru verb|excursion; outing; trip|
|14|父母|fubo|Noun|father and mother; parents|
|15|学科|gakka|Noun|study subject; course of study​; department|
|16|学会|gakkai|Noun|scientific society; academic meeting; academic conference|
|17|学力|gakuryoku|Noun|scholarly ability; scholarship; knowledge; literary ability|
|18|外科|geka|Noun|surgery; department of surgery|
|19|花火|hanabi|Noun|fireworks|
|20|半径|hankei|Noun|radius|
|21|半島|hantou|Noun|peninsula|
|22|発売|hatsubai|Noun, Verb, Suru verb|sale; release (for sale); launch (product)|
|23|早口|hayaguchi|Noun|fast-talking; rapid talking|
|24|外れる|hazureru|Verb, Ichidan verb, Intransitive verb|to be disconnected; to be off; to miss the mark|
|25|閉会|heikai|Verb, Suru verb|closure (of a ceremony, event, meeting, etc.)|
|26|昼寝|hirune|Noun, Verb, Suru verb|nap, siesta|
|27|意地悪|ijiwaru|Noun, Verb, Adjective, な-adjective, Suru verb|malicious; ill-tempered; unkind|
|28|移転|iten|Noun, Verb, Suru verb|moving; relocation; change of address|
|29|一旦|ittan|Adverb|once; for a short time; briefly; temporarily|
|30|寺院|ji'in|Noun|Buddhist temple; religious building|
|31|人文科学|jinbunkagaku|Noun|humanities; social sciences; liberal arts|
|32|自習|jishuu|Noun, Verb, Suru verb|self-study; teaching oneself|
|33|時速|jisoku|Noun|speed (per hour)|
|34|実習|jisshuu|Noun, Verb, Suru verb|practice; training; practical exercise; drill|
|35|過半数|kahansuu|Noun|majority|
|36|開会|kaikai|Noun, Verb, Suru verb|opening of a meeting; starting (an event, etc)|
|37|会館|kaikan|Noun|meeting hall; assembly hall|
|38|回転|kaiten|Noun, Verb, Suru verb|rotation; revolution; turning|
|39|加速|kasoku|Noun, Verb, Suru verb|acceleration; speeding up|
|40|加速度|kasokudo|Noun|acceleration|
|41|見学|kengaku|Noun, Verb, Suru verb|study by observation; field trip; tour; review; inspection|
|42|国王|kokuou|Noun|king; queen; monarch; sovereign|
|43|国立|kokuritsu|Noun|national|
|44|国籍|kokuseki|Noun|nationality; citizenship|
|45|転がる|korogaru|Verb, Godan verb, Intransitive verb|to roll; to fall over; to lie down|
|46|転がす|korogasu|Verb, Godan verb, Transitive verb|to roll; to turn over|
|47|校舎|kousha|Noun|school building; schoolhouse|
|48|校庭|koutei|Noun|schoolyard; playground; school grounds; campus|
|49|待合室|machiaishitsu|Noun|waiting room|
|50|待ち合わせる|machiawaseru|Verb, Ichidan verb, Transitive verb|to rendezvous; to meet at a prearranged place and time; to arrange to meet|
|51|窓口|madoguchi|Noun|ticket window; teller window; counter|
|52|毎度|maido|Noun, Adverbial Noun|each time; always; often; thank you for your continued patronage​|
|53|真っ青|massao|Noun, Adjective, な-adjective|deep blue; bright blue​; ghastly pale; white as a sheet|
|54|真っ白|masshiro|Noun, Adjective, な-adjective|pure white; blank|
|55|名刺|meishi|Noun|business card|
|56|店屋|miseya|Noun|store; shop|
|57|木材|mokuzai|Noun|lumber; timber; wood|
|58|元々|motomoto|Adverb|originally, by nature, from the start|
|59|内科|naika|Noun|internal medicine|
|60|並木|namiki|Noun|roadside tree; row of trees|
|61|入社|nyuusha|Noun, Verb, Suru verb|joining a company|
|62|押さえる|osaeru|Verb, Ichidan verb, Transitive verb|to pin down; to hold down; to press down|
|63|理科|rika|Noun|science (department; course)|
|64|領収|ryoushuu|Noun, Verb, Suru verb|receipt (of money); receiving|
|65|再三|saisan|Adverb|again and again; repeatedly|
|66|刺さる|sasaru|Verb, Godan verb, Intransitive verb|to stick into (with a sharp point); to prick; to get stuck (in);|
